,0
0,alabama
1,arkansas
2,colorado
3,connecticut
4,delaware
5,florida
6,georgia
7,hawaii
8,idaho
9,illinois
10,indiana
11,iowa
12,kansas
13,kentucky
14,louisiana
15,maine
16,maryland
17,massachusetts
18,michigan
19,minnesota
20,mississippi
21,missouri
22,montana
23,nebraska
24,nevada
25,new hampshire
26,new jersey
27,new mexico
28,new york
29,north carolina
30,north dakota
31,ohio
32,oklahoma
33,oregon
34,pennsylvania
35,rhode island
36,south carolina
37,south dakota
38,tennessee
39,vermont
40,virginia
41,west virginia
42,wisconsin
43,wyoming
